ID,Name,DSM5 Criteria,Symptom of DSM5 Criteria,CUI,
S0680,obsessed with elevators,B2,difficulties with transitions,C0680120,
S0681,obsessed with writing,B4,visual fascination with lights,C0584995,
S0682,obsessed with drawing,B4,visual fascination with lights,C3843471,
S0683,obsessed with tire swings,B4,visual fascination with lights,C0849961,
S0684,obsessed with color yellow,B4,visual fascination with lights,C1313858,
S0685,obsesses on bendable objects,B4,unusual interest in sensory aspects of the environment,C0449582,
S0686,obsessive rituals before going to bed,B2,extreme distress at small changes,C0679048,
S0687,obsessive rituals before opening cupboards,B2,extreme distress at small changes,C0679048,
S0688,obsessively focused on books,B3,excessively perseverative interest,C0455734,
S0689,obsessively focused on videos,B4,unusual interest in sensory aspects of the environment,C0455734,
S0690,obsessively focused on pictures,B3,excessively perseverative interest,C0455734,
S0691,occasional fewer than five words,A2,poorly integrated verbal communication,C3828954,
S0692,occasional brief eye contact,A2,lack of facial expressions,C0870532,
S0693,occasional cheekiness or dishibition more than others,B4,unusual interest in sensory aspects of the environment,C3843218,
S0694,occasional hand and finger mannerisms,A2,lack of facial expressions,C0239842,
S0695,occasional placement of others hand as a tool,B1,use of objects,C0374529,
S0696,occasional placement of others hand on objects,B4,excessive touching of objects,C0422881,
S0697,occasional reciprocal conversation,A1,social-emotional reciprocity,C0566087,
S0698,occasional spontaneous pretend actions or highly repetitive pretend play,A1,failure to initiate social interactions,C2371970,
S0699,occasional use of neologisms or idiosyncratic words and phrases,B1,idiosyncratic phrases,C2010447,
S0700,occasionally echolalic,A2,poorly integrated verbal communication,C4229810,
S0701,occasionally watches other children but almost never tries to approach,A3,absence of interest in peers,C2317765,
S0702,occasions in which subject will demonstrate repetitive movements,B1,repetitive motor movements,C1971332,
S0703,offering comfort,A3,difficulties adjusting behavior,C0150521,
S0704,offering to share,A2,poorly integrated verbal communication,C0237876,
S0705,often perseverated with a word for days at a time,B3,excessively perseverative interest,C1971332,
S0706,often repeats phrases from videos,B4,visual fascination with lights,C2371976,
S0707,often usesorused stereotyped itterances with productive language as well,A2,poorly integrated nonverbal communication,C4065054,
S0708,often watches other children and sometimes approaches them ot gets attention,A3,absence of interest in peers,C3259698,
S0709,one or more activities that subject has to preform in a special way if disrupted appears to be under marked pressure,B4,unusual interest in sensory aspects of the environment,C1971332,
S0710,one or more activities that subject has to preform in a special way if disrupted appears to be under pressure,B4,unusual interest in sensory aspects of the environment,C0374529,
S0711,only a few toys with which subject will play,B4,unusual interest in sensory aspects of the environment,C4064319,
S0712,only occasional complex mannerisms or stereotyped body movement,B1,stereotyped motor movements,C0038273,
S0713,only occasional midline hand movements,B1,repetitive motor movements,C2678185,
S0714,only plays by lining things up,B2,need to take same route,C4064319,
S0715,only rarely likes to play with other children,A3,absence of interest in peers,C3476168,
S0716,opens and closes toy car doors and looks inside over and over,B4,visual fascination with lights,C2095575,
S0717,other complex mannerisms or stereotyped body movements,B1,stereotyped motor movements,C0038273,
S0718,overactivity,B4,hyporeactivity to sensory input,C0151889,
S0719,overall speech is delayed,A2,abnormalities in body language,C0241210,
S0720,pacing in circles,B4,visual fascination with lights,C0686795,
S0721,pacing the floor,B4,unusual interest in sensory aspects of the environment,C2061812,
S0722,pacing up and down,B1,repetitive motor movements,C0562458,
S0723,parallel play only,A2,poorly integrated verbal communication,C0032214,
S0724,parallel play,A2,poorly integrated verbal communication,C0032214,
S0725,parents describe subject as a loner,A3,absence of interest in peers,C2034377,
S0726,pays little attention to family,B4,unusual interest in sensory aspects of the environment,C3853123,
S0727,pays little attention to examiner,B2,need to take same route,C0566193,
S0728,peculiar,B4,excessive smelling,C2188220,
S0729,avoidant,A3,difficulties adjusting behavior,C0582761,
S0730,disengaged,B3,excessively circumscribed interest,C3887804,
S0731,peculiar preoccupation with horizontal and vertical planes,B4,visual fascination with movement,C1837463,
S0732,peer interactions are directed by other children,A1,failure to initiate social interactions,C4064030,
S0733,peer interactions are directed by self,A1,reduced sharing of affect,C4064030,
S0734,perseverates on a single topic,B3,excessively perseverative interest,C0683291,
S0735,perseverates on various topics,B3,excessively perseverative interest,C0548554,
S0736,perseverative at watching videos,B3,excessively perseverative interest,C0150593,
S0737,perseverative at other activities,B3,excessively perseverative interest,C0679047,
S0738,perseverative behaviors,B3,excessively perseverative interest,C0679047,
S0739,perseverative play,B3,excessively perseverative interest,C4064177,
S0740,pervasive child development disorders,E,intellectual developmental disorder,C0524528,
S0741,phrase acquisition,A2,poorly integrated verbal communication,C0023013,
S0742,phrases are almost exclusively stereotyped utterances,A2,poorly integrated nonverbal communication,C0233741,
S0743,picking at subject's nose for hours at a time,B4,unusual interest in sensory aspects of the environment,C1971332,
S0744,picking at objects until disassembled,B4,excessive touching of objects,C0847233,
S0745,picking at wallpaper until whole room is free of wallpaper,B4,unusual interest in sensory aspects of the environment,C2182623,
S0746,picking or pulling hair out,B4,excessive touching of objects,C0040953,
S0747,picks at subject's skin,B4,unusual interest in sensory aspects of the environment,C0236642,
S0748,picks at nose stereotypically with thumb and index finger,A2,lack of facial expressions,C0149651,
S0749,play behavior,A3,difficulties adjusting behavior,C0032214,
S0750,play is extremely limited,B2,need to take same route,C0032214,
S0751,play is limited and quite stereotypic,B4,unusual interest in sensory aspects of the environment,C4064319,
S0752,play is limited to a few preferred items,B1,use of objects,C4064319,
S0753,play linked to highly stereotyped use of objects and prevents other activities,B2,ritualized patterns of nonverbal behavior,C4064319,
S0754,play linked to highly stereotyped use of objects,B2,ritualized patterns of verbal behavior,C4064319,
S0755,play on trampoline for hours,B1,repetitive motor movements,C4064319,
S0756,"play was simple and repetitive, indeed perseverative",B3,excessively perseverative interest,C4064177,
S0757,play was simple and repetitive,B2,need to take same route,C4064319,
S0758,play with toys is not very functional,A1,failure to initiate social interactions,C4064319,
S0759,play with toys was without imaginative control,A3,difficulties in sharing imaginative play,C4064319,
S0760,playing excessively with certain objects,B4,excessive touching of objects,C4064319,
S0761,"playing for long periods with trains, arranging and rearranging in different patterns",B4,unusual interest in sensory aspects of the environment,C1971332,
S0762,playing with cage,A3,difficulties adjusting behavior,C0032214,
S0763,netting over and over,B2,need to take same route,C1399259,
S0764,plays abnormally with toys,A1,failure to initiate social interactions,C0032214,
S0765,plays alone,B2,need to take same route,C0032214,
S0766,plays by subject itself,B4,unusual interest in sensory aspects of the environment,C0032214,
S0767,plays for long periods by subject itself,B2,need to take same route,C1971332,
S0768,plays with people as objects,B1,use of objects,C4064319,
S0769,pointing to express interest,B3,highly restricted interests,C0424091,
S0770,poor eating behavior,A3,difficulties adjusting behavior,C0424421,
S0771,poor eye contact,A2,abnormalities in eye contact,C1445953,
S0772,poor interest in social interaction with peers,A3,absence of interest in peers,C4064666,
S0773,poor treatment by others in social settings,A1,failure to initiate social interactions,C1619754,
S0774,possible showing by bringing and directing attention but not sufficient frequent,A2,poorly integrated verbal communication,C4064666,
S0775,pounds head,B4,visual fascination with lights,C2012267,
S0776,poverty of facial expression,A2,lack of facial expressions,C0015457,
S0777,"practices spinning, twirling subject's body",B4,visual fascination with movement,C4023013,
S0778,predictable abnormal idiosyncratic negative response to one or more sensory stimuli with some intrusion to ordinary activities,A2,abnormalities in body language,C2016108,
S0779,predictable abnormal idiosyncratic negative response to one or more sensory stimuli with mild reaction,B4,hyper-reactivity to sensory input,C2215680,
S0780,predictable abnormal idiosyncratic negative response to one or more sensory stimuli with substantial interference with family routines,A1,failure to respond to social interactions,C2016108,
S0781,prefers a consistent routine,B2,need to take same route,C0512758,
S0782,cries if changes are made,B2,need to take same route,C0423542,
S0783,prefers isolated activities,B3,highly restricted interests,C4062408,
S0784,prefers autonomous activities,B3,highly restricted interests,C0577454,
S0785,no close friends,B3,highly restricted interests,C0679458,
S0786,prefers parallel play,B3,highly restricted interests,C0032214,
S0787,prefers to look at people out of corner of eye,B4,visual fascination with lights,C0562582,
S0788,prefers to play alone,A1,failure to initiate social interactions,C3476168,
S0789,preoccupation of patterns of doing things,B2,rigid thinking patterns,C0233763,
S0790,preoccupation with bouncing ball,A3,absence of interest in peers,C0517101,
S0791,preoccupation with cutting up paper into small pieces,B4,unusual interest in sensory aspects of the environment,C0424376,
S0792,preoccupation with narrowly focused interest,A3,absence of interest in peers,C0589098,
S0793,preoccupation with parts of objects,B3,preoccupation,C0815101,
S0794,preoccupation with spinning wheels,B4,unusual interest in sensory aspects of the environment,C0042571,
S0795,preoccupation with television,A3,absence of interest in peers,C2115874,
S0796,"preoccupation with trash, bathrooms, memorizing birthdays",A3,absence of interest in peers,C0018592,
S0797,preoccupation with water,B3,preoccupation,C0549165,
S0798,preoccupied with living things,B4,visual fascination with lights,C3175061,
S0799,preoccupied with medical instruments,B4,unusual interest in sensory aspects of the environment,C2077867,
S0800,preoccupied with touching things,B4,excessive touching of objects,C0233763,
S0801,preoccupied with wires and cords,B4,unusual interest in sensory aspects of the environment,C0396064,
S0802,pretty much a loner,A3,absence of interest in peers,C3175602,
S0803,probable loss of articulation,A2,lack of facial expressions,C0542223,
S0804,probable loss of communicative intent,A3,difficulties in sharing imaginative play,C0456814,
S0805,probable loss of five meaningful words use,B1,use of objects,C2183417,
S0806,probable loss of syntactical skills,A2,poorly integrated nonverbal communication,C2189311,
S0807,problems with reciprocal social interactions,A1,social-emotional reciprocity,C0037420,
S0808,profound fascination for water,B4,visual fascination with lights,C0439808,
S0809,profound fascination for balloon,B4,visual fascination with lights,C0232269,
S0810,profound language delay,A2,poorly integrated verbal communication,C0023012,
S0811,pronominal confusion other,B1,idiosyncratic phrases,C0009676,
S0812,pronominal confusion when asking a question,B1,idiosyncratic phrases,C4036182,
S0813,pronominal reversal,B2,need to take same route,C2219733,
S0814,"prosodic contour odd, generally high in pitch",B4,adverse response to specific sounds,C0241703,
S0815,purposive hand movements definite loss,B4,excessive touching of objects,C2678185,
S0816,purposive hand movements no loss,B4,excessive touching of objects,C2678185,
S0817,purposive hand movements possible loss,B4,excessive touching of objects,C2678185,
S0818,quality of social overtures,A3,absence of interest in peers,C3161740,
S0819,quite marked resistance to change,B2,extreme distress at small changes,C2045680,
S0820,range of facial expressions used to communicate,A2,lack of facial expressions,C4062225,
S0821,rare or no social approaches of showing and directing attention,A3,absence of interest in peers,C4064666,
S0822,rarely establishes eye contact,A2,poorly integrated verbal communication,C0870532,
S0823,rarely maintained eye contact,A2,lack of facial expressions,C0870532,
S0824,rarely makes eye contact,B2,need to take same route,C0870532,
S0825,rarely offers comfort or only in odd ways,B4,unusual interest in sensory aspects of the environment,C3844742,
S0826,rarely or never responds to the approach of even a familiar child,A3,absence of interest in peers,C3710336,
S0827,rarely responds although hearing normal,B4,adverse response to specific sounds,C1719452,
S0828,rarely says any words,B4,visual fascination with lights,C0564225,
S0829,rarely shows social intentionality involving eye gaze or vocalization,B2,ritualized patterns of nonverbal behavior,C4064031,
S0830,reaction to sensory stimuli,B4,hyper-reactivity to sensory input,C2054088,
S0831,reaction to unexpected change,B2,extreme distress at small changes,C1519789,
S0832,receptive and expressive language difficulties,A2,lack of nonverbal communication,C4065054,
S0833,receptive language,A2,poorly integrated nonverbal communication,C0454642,
S0834,receptive lexicon,B1,idiosyncratic phrases,C1406026,
S0835,receptive morphology,B2,need to take same route,C0454642,
S0836,receptive phonology,A2,poorly integrated nonverbal communication,C1406026,
S0837,receptive semantics,A2,poorly integrated nonverbal communication,C1406026,
S0838,receptive syntax,A2,poorly integrated nonverbal communication,C1406026,
S0839,reciprocal social interaction,A1,social-emotional reciprocity,C0037420,
S0840,recognition and responsiveness to voice,A1,failure to respond to social interactions,C0585349,
S0841,recognition of social norms,A1,failure to initiate social interactions,C2937292,
S0842,refer to self by name afterphrase speech established,A2,poorly integrated nonverbal communication,C2182632,
S0843,refusal to interact with other children,A1,failure to initiate social interactions,C0558182,
S0844,refused efforts to interact,B2,need to take same route,C1948140,
S0845,refusing to eat food if not cut in a certain way,B2,eat same food,C0566306,
S0846,regression of general skills,A3,absence of interest in peers,C4014493,
S0847,regression of language skills,B2,ritualized patterns of verbal behavior,C3553204,
S0848,regular showing of objects by bringing and directing attention,B1,use of objects,C1948155,
S0849,regular use of neologisms or idiosyncratic ways of saying things,B1,idiosyncratic phrases,C0233763,
S0850,regular use of others hand as a tool,B1,use of objects,C0374529,
S0851,regularly predictable reciprocal social smiling,A1,social-emotional reciprocity,C4064031,
S0852,relating to others,A1,failure to respond to social interactions,C0548554,
S0853,relatively poor social interaction,A1,failure to initiate social interactions,C0150080,
S0854,repeated certain words over and over,B1,use of objects,C0517108,
S0855,repeatedly putting puzzles together,B4,visual fascination with lights,C0427180,
S0856,repeatedly turning over hands,B1,use of objects,C0541749,
S0857,repeating non-sense sounds,B4,adverse response to specific sounds,C3250037,
S0858,repeating sounds in perseverative way,B3,excessively perseverative interest,C4064942,
S0859,repeating words,B4,visual fascination with lights,C2010447,
S0860,repeats almost all words said to subject,B1,use of objects,C0517108,
S0861,imitates almost all words said to subject,B1,use of objects,C2182632,
S0862,"repetition, nos",B4,adverse response to specific textures,C0020615,
S0863,"repetitious, recitation-like quality",B2,need to take same route,C0559307,
S0864,repetitious behavior,B3,excessively perseverative interest,C0038271,
S0865,"repetitive, stereotypic utterances",A2,poorly integrated nonverbal communication,C0038271,
S0866,repetitive actions,B1,repetitive motor movements,C0038271,
S0867,repetitive activities such as counting objects,B1,use of objects,C2674587,
S0868,repetitive clapping,B3,excessively circumscribed interest,C0562465,
S0869,repetitive finger movements,B1,repetitive motor movements,C0562470,
S0870,repetitive flexion movements of subject's fingers,B1,repetitive motor movements,C0562470,
S0871,repetitive extension movements of subject's fingers,B1,repetitive motor movements,C0562470,
S0872,repetitive hand washing,B4,excessive touching of objects,C0700382,
S0873,repetitive head banging,B4,excessive touching of objects,C0018672,
S0874,repetitive mannerisms described,B2,need to take same route,C0233576,
S0875,repetitive rocking movements,B1,repetitive motor movements,C2200455,
S0876,repetitive speech,B1,repetitive motor movements,C0392185,
S0877,repetitive spinning of objects,B4,visual fascination with lights,C0562463,
S0878,repetitive spinning of whole body,B1,repetitive motor movements,C0562463,
S0879,repetitive stereotypical behavior,B1,simple motor stereotypies,C0038271,
S0880,repetitive stereotypical phrases such as 'you bet',B2,need to take same route,C2036486,
S0881,repetitive stereotypical phrases,A2,poorly integrated nonverbal communication,C0038271,
S0882,repetitive use of objects or interest in parts of objects,B1,use of objects,C0566033,
S0883,repetitively labeling objects,B1,flipping objects,C0565705,
S0884,repetitively lining up toys,B3,excessively circumscribed interest,C0565735,
S0885,repetitively playing with water,B4,excessive touching of objects,C0032214,
S0886,requires that subject's brother say exact same words each night during the bedtime ritual,B4,unusual interest in sensory aspects of the environment,C0013528,
S0887,resistance to trivial changes in the environment not directly affecting the subject,B4,unusual interest in sensory aspects of the environment,C2045680,
S0888,resistant to change,B2,need to take same route,C0424271,
S0889,"resists being held, hugged or shown physical affection",A1,failure to initiate social interactions,C3533238,
S0890,responds to parentsorcaregiver and others in familiar settings,B4,unusual interest in sensory aspects of the environment,C0566127,
S0891,response inhibition,B2,need to take same route,C0154586,
S0892,response to approaches of other children,A1,failure to respond to social interactions,C0548554,
S0893,responsiveness to social advances,A1,failure to respond to social interactions,C0476612,
S0894,restricted ability to initiate contact,A1,failure to initiate social interactions,C2364293,
S0895,restricted and repetitive behavior,A3,difficulties adjusting behavior,C4064201,
S0896,restricted and unusual interests,B3,highly restricted interests,C0543488,
S0897,restricted interest in play,B3,highly restricted interests,C1822065,
S0898,restricted range of interests,A1,reduced sharing of interests,C0543488,
S0899,restrictive behavior,A3,difficulties adjusting behavior,C1827547,
S0900,restrictive activities,B3,highly restricted interests,C0026606,
S0901,restrictive interests,B3,highly restricted interests,C0543488,
S0902,rigidity of routines,B2,rigid thinking patterns,C0151564,
S0903,ringing of hands,B4,excessive touching of objects,C0239815,
S0904,ritualistic behavior,B2,ritualized patterns of verbal behavior,C0474408,
S0905,ritualized behaviors,B2,ritualized patterns of verbal behavior,C0474408,
S0906,rote phrases,B1,flipping objects,C2219733,
S0907,routines very important  if altered subject becomes agitated,B4,unusual interest in sensory aspects of the environment,C4036294,
S0908,agitated for altered routines,A3,difficulties adjusting behavior,C0085631,
S0909,runs in circles,B4,visual fascination with lights,C0686795,
S0910,runs on tip toes,B4,adverse response to specific textures,C2050656,
S0911,seeking to share subject's enjoyment with others,A1,reduced sharing of emotions,C0679463,
S0912,seeks no play that involves participation in groups of other children,A3,difficulties in sharing imaginative play,C0548554,
S0913,seeks out contact with other children,A3,difficulties in making friends,C0562582,
S0914,seems to parrot or mimic what is said,B2,need to take same route,C0087130,
S0915,"seems to want to be in the same room as other children, but is not actively involved in their activity",B4,unusual interest in sensory aspects of the environment,C1971332,
S0916,self destructive behavior,A3,difficulties adjusting behavior,C0085271,
S0917,self help skills definite loss,A3,difficulties adjusting behavior,C2108474,
S0918,self help skills possible loss,A3,difficulties adjusting behavior,C0237215,
S0919,self help skills,A3,difficulties in making friends,C0023186,
S0920,self injurious behavior,B4,unusual interest in sensory aspects of the environment,C0085271,
S0921,self-abusive behavior,A3,difficulties adjusting behavior,C1827547,
S0922,self-directed behavior,A3,difficulties adjusting behavior,C1319136,
S0923,deliberate self-harm,A1,reduced sharing of interests,C0085271,
S0924,self-injurious behavior,B4,unusual interest in sensory aspects of the environment,C0085271,
S0925,self-stimulatory behaviors including spinning,A1,failure to initiate social interactions,C0474416,
S0926,semantic-pragmatic impairment,A2,abnormalities in body language,C0023015,
S0927,sense of disconnectedness was frequently present,B2,extreme distress at small changes,C0424388,
S0928,sensitivity to conversant,B4,adverse response to specific textures,C1948140,
S0929,sensory intolerance,B4,adverse response to specific textures,C0152027,
S0930,series of short lasting attachments to unusual objects,B4,unusual interest in sensory aspects of the environment,C0027092,
S0931,setting up objects repeatedly,B1,use of objects,C0565705,
S0932,knocking down objects repeatedly,B4,visual fascination with lights,C2008831,
S0933,setting up and knocking down objects repeatedly,B4,unusual interest in sensory aspects of the environment,C2008831,
S0934,severe delay in socializations,A1,failure to initiate social interactions,C2673867,
S0935,severe speech retardation,A2,abnormalities in body language,C0036857,
S0936,severe language retardation,A2,abnormalities in body language,C0036857,
S0937,sharing in interests of others,A1,reduced sharing of interests,C0543488,
S0938,subject certainly does not seek out attention,B2,need to take same route,C2317765,
S0939,subject did not engage in my obvious pretend play,A3,absence of interest in peers,C2317765,
S0940,subject does engage in interactive play with other children easily,A1,failure to initiate social interactions,C4064319,
S0941,subject has no words,B2,need to take same route,C1838026,
S0942,subject is not interactive,B4,unusual interest in sensory aspects of the environment,C1971264,
S0943,subject is not seeking social interactions,A1,failure to initiate social interactions,C4064030,
S0944,stares at books or wrap string around fingers for hours,B4,visual fascination with lights,C0560859,
S0945,showing and directing attention,B1,use of objects,C1398138,
S0946,showing emotion,A1,reduced sharing of affect,C0013987,
S0947,shows a need for routine,B2,need to take same route,C1971332,
S0948,shows interest in peer relations,A3,absence of interest in peers,C0679972,
S0949,shows interest in toys,B4,unusual interest in sensory aspects of the environment,C0517073,
S0950,shows little interest in toys,B4,unusual interest in sensory aspects of the environment,C0517073,
S0951,shows no interest in other children,B2,need to take same route,C0424091,
S0952,shows one or two unusual interests regularly,B3,highly restricted interests,C0543488,
S0953,shows poor eye contact,A1,reduced sharing of interests,C1445953,
S0954,significant lack in communication skills,A2,poorly integrated verbal communication,C4064081,
S0955,significantly delayed speech and language development,A2,abnormalities in body language,C0454644,
S0956,sing-songy sounds,B4,adverse response to specific sounds,C0232517,
S0957,sits on bed and rocks,B4,unusual interest in sensory aspects of the environment,C0425251,
S0958,skill in understanding humor,B4,visual fascination with lights,C0683242,
S0959,skill in understanding non-literal meaning,A2,poorly integrated nonverbal communication,C0162340,
S0960,slapping hands under chin,A2,lack of facial expressions,C2112832,
S0961,slapping subject itself,B2,need to take same route,C0562716,
S0962,sleeping problems,A3,difficulties adjusting behavior,C0235162,
S0963,slight sensitivity to noise,B4,adverse response to specific sounds,C0853819,
S0964,slow to talk,A2,poorly integrated verbal communication,C0278249,
S0965,smells everything,B4,visual fascination with lights,C0233763,
S0966,social awkwardness,B2,extreme distress at small changes,C0233844,
S0967,social communication disorder,A3,difficulties in making friends,C0850782,
S0968,social competence,A3,difficulties in making friends,C0679005,
S0969,social dependence on others,A1,failure to respond to social interactions,C0037397,
S0970,social disconnectedness,B2,insistence on sameness,C0004077,
S0971,social disinhibition,A3,difficulties in making friends,C0424166,
S0972,social engagement and responsiveness definite loss,B4,unusual interest in sensory aspects of the environment,C2937292,
S0973,social engagement and responsiveness possible loss,B2,extreme distress at small changes,C2937292,
S0974,social engagement and responsiveness,B4,unusual interest in sensory aspects of the environment,C2937292,
S0975,social interaction capability,B1,use of objects,C0037420,
S0976,social interaction clearly disturbed,A3,difficulties adjusting behavior,C0037420,
S0977,social interaction disorder,E,intellectual developmental disorder,C0850782,
S0978,"social interaction limited, particularly in group setting",A2,poorly integrated verbal communication,C4064666,
S0979,social interaction limited,B3,highly restricted interests,C0037420,
S0980,social interaction very limited,B3,highly restricted interests,C0037420,
S0981,social interest,B3,highly restricted interests,C0748872,
S0982,social reciprocity,A1,social-emotional reciprocity,C0871226,
S0983,social smiling,A1,abnormal social approach,C0037363,
S0984,social use of language was below expectations,A2,lack of nonverbal communication,C2136046,
S0985,social verbalization chat,A2,poorly integrated verbal communication,C4064032,
S0986,social withdrawal,A3,difficulties adjusting behavior,C0424095,
S0987,is a loner socially,B4,unusual interest in sensory aspects of the environment,C3259698,
S0988,isolates subject itself socially,B4,adverse response to specific textures,C3162300,
S0989,socially disconnected,A3,difficulties in making friends,C0558182,
S0990,socially interacts,B4,unusual interest in sensory aspects of the environment,C1822049,
S0991,socially isolated,A3,difficulties in making friends,C2220010,
S0992,solitary in subject's play,B4,unusual interest in sensory aspects of the environment,C1822065,
S0993,solitary play,A1,abnormal social approach,C0032214,
S0994,some activities with unusual fixed sequences,B2,need to take same route,C1971332,
S0995,some attachment to slightly unusual object,B1,use of objects,C0038016,
S0996,some attempts to share enjoyment,B4,unusual interest in sensory aspects of the environment,C0679463,
S0997,some bringing things andor showing but associated with preoccupations,A3,absence of interest in peers,C3259698,
S0998,some clear positive responses and interactions,B3,highly restricted interests,C1287531,
S0999,some cooperative play but of insufficient initiative,B3,highly restricted interests,C1822065,
S1000,some echolalia,B1,echolalia,C0013528,
S1001,some echolalic tendencies were heard,B4,adverse response to specific sounds,C2036486,
S1002,some evidence of echolalia,B4,adverse response to specific sounds,C4227336,
S1003,some evidence of reciprocal social smiling,A1,social-emotional reciprocity,C3853123,
S1004,some evidence of smiling while looking at people,A2,lack of facial expressions,C0562604,
S1005,some finger waving by eye,B4,visual fascination with lights,C0562470,
S1006,some indication of spontaneous imitation that goes beyond copying a frequent use of an object,B4,visual fascination with movement,C2183417,
S1007,some participation in pretend play with another child,A3,absence of interest in peers,C1822065,
S1008,some play with other children but no pretending,A3,absence of interest in peers,C0814594,
S1009,some pretend play,A1,abnormal social approach,C2371970,
S1010,some repetitive use of objects,B1,use of objects,C4064201,
S1011,some self-stimulating verbal activity,A2,poorly integrated verbal communication,C0042530,
S1012,stereotype behavior of naming letters and some numbers with articulation,A2,abnormalities in body language,C1838026,
S1013,some self-stimulatory behavior,A1,failure to initiate social interactions,C0021125,
S1014,some speech to alert caregiver,B4,unusual interest in sensory aspects of the environment,C2036553,
S1015,some spontaneous offers to share limited in number,B2,need to take same route,C0424091,
S1016,some stereotypic hand movements were observed,B1,simple motor stereotypies,C4065487,
S1017,some stereotypic movements observed,B1,simple motor stereotypies,C0038273,
S1018,some toandfro social play,B4,unusual interest in sensory aspects of the environment,C0035820,
S1019,sometimes making poor eye contact,B2,need to take same route,C1445953,
S1020,sometimes nods spotaneously,B2,need to take same route,C2106226,
S1021,sometimes responsive to other childrens approaches,B4,adverse response to specific textures,C0478610,
S1022,sometimes shakes head spontaneously,A2,lack of facial expressions,C0857072,
S1023,sometimes share if requested,B3,highly restricted interests,C3710336,
S1024,somewhat limited facial expression range,A2,lack of facial expressions,C0015457,
S1025,speaking in third person,B1,use of objects,C0030631,
S1026,special interest of unusual degree,B2,need to take same route,C0424091,
S1027,"speech, aprosodic",A2,abnormalities in body language,C0233718,
S1028,speech and language delay,A2,poorly integrated verbal communication,C0237113,
S1029,speech delay,A2,poorly integrated verbal communication,C0241210,
S1030,speech delayed,A2,poorly integrated verbal communication,C0241210,
S1031,speech echolalic,B4,adverse response to specific sounds,C0233718,
S1032,speech limited,A2,poorly integrated verbal communication,C0233718,
S1033,speech often shrill when excited,B4,adverse response to specific sounds,C0234518,
S1034,speech often high pitched when excited,B4,adverse response to specific sounds,C0241703,
S1035,speech peculiar or difficult to understand,A2,poorly integrated nonverbal communication,C3166351,
S1036,speech tendsortended to be more repetitive than most subject,A2,poorly integrated verbal communication,C2215680,
S1037,speech tone high-pitched,B4,adverse response to specific sounds,C2018115,
S1038,speech with abnormality,A2,abnormalities in body language,C0233715,
S1039,spends much time filtering corn through subject's hands,B4,adverse response to specific textures,C0374529,
S1040,spinning wheels of toys,B4,visual fascination with lights,C0562463,
S1041,spinning wheels repetitively,B1,repetitive motor movements,C0562463,
S1042,spins around in circles,B3,excessively circumscribed interest,C1844606,
S1043,spoke in broken sentences,A2,poorly integrated verbal communication,C2183468,
S1044,spontaneous imitation limited to a few familiar routines that are not incorporated into play,B2,ritualized patterns of verbal behavior,C4064319,
S1045,spontaneous imitation of a varied range of nontaught actions,A2,poorly integrated nonverbal communication,C0231589,
S1046,spontaneous imitation of actions,B4,excessive touching of objects,C0855217,
S1047,spontaneous social interactions,A1,failure to initiate social interactions,C0037420,
S1048,spontaneously engaging in other children,A3,absence of interest in peers,C0175951,
S1049,spontaneously pointing,B3,excessively circumscribed interest,C4036288,
S1050,"stacking books, touching rituals",B4,visual fascination with lights,C0233622,
S1051,"staring into mirror, lights",B4,visual fascination with lights,C0085635,
S1052,starring blankly into space,B3,excessively circumscribed interest,C0427180,
S1053,"stereotyped, restricted, and repetitive behavior",B1,stereotyped motor movements,C4064201,
S1054,"stereotyped, repetitive behavior",B1,stereotyped motor movements,C0038271,
S1055,stereotyped phrases,B1,stereotyped motor movements,C4064940,
S1056,stereotyped restricted and repetitive behavior,B1,stereotyped motor movements,C4064201,
S1057,stereotyped utterances and delayed echolalia or no phrase,A2,poorly integrated nonverbal communication,C2018033,
S1058,stereotyped utterances and delayed echolalia,B4,adverse response to specific sounds,C0013528,
S1059,stereotypic finger movements,B1,stereotyped motor movements,C0038273,
S1060,stereotypic movements,B1,stereotyped motor movements,C0038273,
S1061,stereotypic play with wheels,B1,simple motor stereotypies,C4064319,
S1062,stereotypic vocalization,B1,stereotyped motor movements,C0564182,
S1063,stereotypical motor behavior,B1,stereotyped motor movements,C0026606,
S1064,stereotypical movements,B1,stereotyped motor movements,C0038273,
S1065,stereotypical utterances,A2,poorly integrated nonverbal communication,C2018033,
S1066,not able to initiate a social interaction,A1,failure to initiate social interactions,C2364293,
S1067,stopped using toys,A3,difficulties adjusting behavior,C0563760,
S1068,"strange, unusual 'oowing' noise",B4,unusual interest in sensory aspects of the environment,C1856299,
S1069,strange or illogical ideas,B4,visual fascination with lights,C0235129,
S1070,string 2 to 3 words together at a time,A2,poorly integrated nonverbal communication,C2182752,
S1071,suspicious of others,B2,need to take same route,C0205258,
S1072,"tactile defensiveness (finger paints,  playdough,  shaving cream,  etc.)",B4,unusual interest in sensory aspects of the environment,C0239842,
S1073,tactile defensiveness,A2,lack of facial expressions,C4067225,
S1074,talking to self,A3,difficulties in making friends,C0871330,
S1075,answers subject itself in a different voice,B4,unusual interest in sensory aspects of the environment,C0518179,
S1076,talks subject itself in a different voice,B4,unusual interest in sensory aspects of the environment,C0515855,
S1077,tapping finger and thumb together,B4,excessive touching of objects,C4025148,
S1078,task completion,B1,use of objects,C4062093,
